umur,jenis_kelamin,pekerjaan,stress_level_1_5,penyebab_stres,durasi_stres,kualitas_tidur_1_5,durasi_tidur_jam,waktu_luang_mnt,aktivitas_fisik_mnt,preferensi_olahraga,preferensi_baca,preferensi_jurnal,komitmen_hari_per_minggu,tujuan_utama,anxiety_score,depression_score,self_esteem_score,study_load_1_5,peer_pressure_1_5,social_support_1_5,future_concern_1_5,aktivitas_dipilih,durasi_menit,source
24,Male,Lawyer,5,Sosial,>1 bulan,1,5.9,110,20,2,3,4,7,Tidur Lebih Baik,16,16,20,5,4,2,5,journaling,30,StudentStressFactors
29,Male,Entrepreneur,5,Keuangan,>1 bulan,1,6.7,125,26,3,3,3,5,Tidur Lebih Baik,17,15,11,5,5,1,4,journaling,25,StudentCopingMechanisms
24,Male,Student,5,Keuangan,>1 bulan,2,5.6,180,47,3,3,3,5,Tidur Lebih Baik,16,13,3,1,5,1,3,journaling,25,StudentStressFactors
52,Female,Lawyer,4,Lainnya,>1 bulan,2,7.5,160,33,2,2,2,4,Mengurangi Stres,12,14,12,4,5,3,4,membaca,30,SleepHealthLifestyle
25,Female,Student,2,Lainnya,<1 minggu,5,8.4,180,75,4,2,1,3,Menenangkan Pikiran,2,2,24,1,1,5,1,olahraga,30,StudentCopingMechanisms
18,Male,Student,2,Sosial,<1 minggu,4,7.7,190,54,3,3,2,3,Meningkatkan Energi,6,7,22,1,3,4,1,membaca,30,StudentCopingMechanisms
37,Female,Teacher,2,Akademik,<1 minggu,3,7.7,186,56,4,3,3,3,Menenangkan Pikiran,6,5,22,3,1,5,1,olahraga,30,StudentCopingMechanisms
18,Female,Student,3,Sosial,1-2 minggu,3,7.1,142,60,3,4,3,6,Menenangkan Pikiran,12,11,20,3,2,2,2,membaca,45,StudentCopingMechanisms
48,Male,Accountant,2,Pekerjaan,<1 minggu,3,7.1,168,58,3,3,2,3,Lebih Produktif,6,5,19,3,3,3,1,membaca,45,SleepHealthLifestyle
17,Male,Student,5,Akademik,2-4 minggu,2,5.1,133,20,3,2,3,5,Tidur Lebih Baik,5,9,16,3,4,3,3,olahraga,60,StudentCopingMechanisms
23,Male,Student,1,Akademik,<1 minggu,2,6.1,180,57,4,2,3,2,Mengurangi Stres,6,11,0,2,2,2,5,olahraga,30,StudentStressFactors
41,Male,Nurse,4,Pekerjaan,<1 minggu,5,7.0,157,25,2,4,2,7,Tidur Lebih Baik,13,9,15,4,4,1,3,membaca,45,StudentCopingMechanisms
23,Female,Student,5,Akademik,1-2 minggu,2,6.0,66,20,2,2,4,6,Tidur Lebih Baik,6,11,17,4,5,1,5,journaling,20,StudentCopingMechanisms
50,Male,Lawyer,3,Lainnya,1-2 minggu,4,7.5,173,43,3,1,2,5,Menenangkan Pikiran,12,7,17,4,4,2,2,olahraga,60,SleepHealthLifestyle
30,Male,Software Engineer,4,Pekerjaan,1-2 minggu,3,6.8,138,24,1,4,2,7,Mengurangi Stres,13,12,21,4,4,1,4,membaca,60,StudentCopingMechanisms
23,Female,Student,3,Keuangan,1-2 minggu,3,7.0,148,41,3,4,3,5,Menenangkan Pikiran,8,3,23,3,2,4,3,membaca,60,SleepHealthLifestyle
25,Male,Student,4,Lainnya,1-2 minggu,3,6.2,129,45,4,4,4,5,Meningkatkan Energi,5,6,20,2,3,4,2,journaling,20,StudentCopingMechanisms
36,Female,Accountant,4,Keuangan,1-2 minggu,1,5.9,120,25,1,3,4,5,Mengurangi Stres,14,11,20,4,4,2,3,journaling,25,SleepHealthLifestyle
22,Female,Student,5,Akademik,1-2 minggu,2,5.1,120,20,1,3,4,6,Tidur Lebih Baik,6,9,15,3,4,2,4,journaling,20,StudentCopingMechanisms
38,Female,Teacher,4,Lainnya,>1 bulan,2,7.1,132,33,1,3,3,4,Tidur Lebih Baik,13,12,18,5,4,2,5,journaling,20,StudentCopingMechanisms
46,Male,Engineer,3,Sosial,1-2 minggu,2,7.2,186,41,2,2,3,3,Mengurangi Stres,11,12,19,4,3,2,4,journaling,20,StudentStressFactors
52,Female,Software Engineer,4,Pekerjaan,2-4 minggu,2,6.9,127,54,4,2,3,5,Mengurangi Stres,6,4,19,2,3,3,3,olahraga,60,SleepHealthLifestyle
30,Female,Engineer,4,Pekerjaan,>1 bulan,3,6.9,177,56,3,2,4,7,Lebih Produktif,11,11,19,5,4,1,3,journaling,20,StudentStressFactors
51,Female,Manager,5,Lainnya,>1 bulan,2,6.6,121,40,3,4,4,7,Mengurangi Stres,18,13,14,5,4,1,5,membaca,45,StudentCopingMechanisms
27,Male,Accountant,3,Pekerjaan,1-2 minggu,2,7.1,173,65,3,3,1,4,Tidur Lebih Baik,9,8,16,2,2,3,4,membaca,45,StudentStressFactors
23,Female,Student,2,Akademik,<1 minggu,4,8.3,194,39,4,4,2,3,Meningkatkan Energi,4,8,27,3,3,4,3,membaca,45,StudentCopingMechanisms
43,Female,Engineer,4,Lainnya,2-4 minggu,2,6.8,171,32,1,3,4,6,Tidur Lebih Baik,14,9,12,3,4,3,3,journaling,20,SleepHealthLifestyle
37,Female,Engineer,3,Sosial,1-2 minggu,2,7.9,167,38,3,1,1,3,Tidur Lebih Baik,11,8,18,3,3,3,3,olahraga,45,SleepHealthLifestyle
45,Female,Teacher,2,Keuangan,1-2 minggu,5,8.1,200,54,3,4,2,3,Lebih Produktif,7,3,22,3,1,3,3,membaca,30,StudentCopingMechanisms
23,Female,Student,5,Keuangan,2-4 minggu,3,4.9,136,37,2,3,4,7,Tidur Lebih Baik,4,6,7,3,5,3,1,membaca,45,StudentStressFactors
46,Female,Software Engineer,5,Sosial,>1 bulan,2,6.6,114,39,4,4,4,7,Tidur Lebih Baik,13,15,14,5,5,2,5,membaca,60,StudentCopingMechanisms
29,Male,Content Creator,2,Keuangan,<1 minggu,3,8.7,200,71,3,3,2,4,Meningkatkan Energi,7,9,23,1,1,5,2,membaca,30,StudentCopingMechanisms
44,Female,Sales Representative,5,Akademik,>1 bulan,2,6.2,121,16,3,4,4,7,Tidur Lebih Baik,17,18,14,4,4,1,4,journaling,25,StudentStressFactors
42,Female,Software Engineer,5,Akademik,>1 bulan,1,7.0,123,40,4,4,3,7,Tidur Lebih Baik,17,15,13,5,5,2,4,membaca,45,SleepHealthLifestyle
21,Female,Student,4,Akademik,1-2 minggu,1,7.2,156,46,3,3,2,6,Tidur Lebih Baik,13,10,20,3,5,1,3,membaca,45,StudentStressFactors
23,Female,Student,2,Lainnya,<1 minggu,4,7.7,152,45,2,3,2,2,Lebih Produktif,4,5,26,2,2,3,1,membaca,45,StudentCopingMechanisms
22,Female,Student,5,Keuangan,1-2 minggu,2,4.9,180,34,3,3,4,7,Tidur Lebih Baik,12,26,20,3,5,3,1,journaling,25,StudentStressFactors
25,Male,Student,5,Keuangan,1-2 minggu,2,5.7,176,25,1,2,3,6,Tidur Lebih Baik,8,11,2,3,1,3,2,membaca,45,StudentStressFactors
22,Female,Student,2,Lainnya,<1 minggu,5,8.2,180,75,4,2,1,5,Lebih Produktif,0,2,29,1,1,4,1,olahraga,45,StudentCopingMechanisms
19,Male,Student,3,Akademik,<1 minggu,4,7.1,159,52,3,4,2,4,Meningkatkan Energi,5,14,21,3,2,2,2,membaca,45,SleepHealthLifestyle
17,Male,Student,1,Lainnya,>1 bulan,5,8.2,180,75,3,1,1,2,Meningkatkan Energi,2,3,30,1,1,4,1,olahraga,30,StudentCopingMechanisms
23,Female,Student,3,Akademik,2-4 minggu,3,7.0,183,58,3,3,2,3,Lebih Produktif,10,10,25,2,3,2,4,olahraga,30,StudentCopingMechanisms
51,Female,Nurse,4,Sosial,2-4 minggu,2,6.9,117,26,2,3,4,6,Tidur Lebih Baik,12,12,13,5,5,3,5,membaca,45,SleepHealthLifestyle
23,Female,Student,3,Keuangan,>1 bulan,4,7.7,160,61,3,3,2,4,Meningkatkan Energi,9,6,23,2,4,3,3,membaca,30,SleepHealthLifestyle
21,Male,Student,3,Lainnya,<1 minggu,4,6.7,129,45,4,4,1,6,Menenangkan Pikiran,6,7,22,3,2,3,3,membaca,45,StudentCopingMechanisms
55,Female,Software Engineer,4,Pekerjaan,>1 bulan,3,7.2,146,46,4,2,2,5,Lebih Produktif,10,13,15,5,5,3,5,olahraga,45,StudentCopingMechanisms
54,Female,Accountant,4,Pekerjaan,2-4 minggu,1,7.4,132,45,3,3,4,6,Mengurangi Stres,13,12,15,5,4,3,5,membaca,60,StudentCopingMechanisms
18,Male,Student,2,Lainnya,1-2 minggu,4,7.2,111,75,4,3,1,3,Menenangkan Pikiran,0,3,27,3,1,5,2,olahraga,30,StudentCopingMechanisms
45,Male,Manager,3,Keuangan,>1 bulan,2,7.7,159,65,3,2,2,3,Mengurangi Stres,7,7,18,3,2,3,2,olahraga,30,StudentStressFactors
22,Male,Scientist,4,Lainnya,1-2 minggu,3,7.5,141,47,3,4,4,6,Mengurangi Stres,11,14,16,3,4,2,3,membaca,60,SleepHealthLifestyle
22,Female,Student,2,Keuangan,1-2 minggu,5,7.4,200,49,3,3,2,4,Lebih Produktif,6,3,25,1,2,3,3,membaca,30,SleepHealthLifestyle
17,Female,Student,4,Akademik,2-4 minggu,3,7.4,156,45,3,3,4,7,Mengurangi Stres,6,6,21,2,3,4,4,journaling,25,StudentCopingMechanisms
24,Male,Scientist,2,Pekerjaan,<1 minggu,3,7.7,164,44,4,3,2,3,Menenangkan Pikiran,4,10,26,3,3,5,3,olahraga,30,StudentStressFactors
25,Male,Student,2,Sosial,2-4 minggu,5,8.3,163,42,4,4,1,3,Lebih Produktif,6,4,21,1,2,5,1,olahraga,45,StudentCopingMechanisms
25,Female,Scientist,3,Pekerjaan,<1 minggu,3,6.7,136,37,3,4,2,5,Lebih Produktif,11,7,22,2,2,4,4,membaca,45,StudentStressFactors
43,Female,Engineer,3,Pekerjaan,<1 minggu,2,7.0,169,63,4,4,2,6,Tidur Lebih Baik,9,8,20,3,2,3,2,membaca,60,StudentCopingMechanisms
22,Female,Software Engineer,5,Sosial,2-4 minggu,1,6.4,98,28,2,4,2,7,Tidur Lebih Baik,13,14,12,5,5,1,5,membaca,45,StudentCopingMechanisms
23,Female,Student,3,Keuangan,<1 minggu,4,7.8,176,33,2,4,1,4,Lebih Produktif,9,8,20,3,4,3,3,membaca,30,StudentCopingMechanisms
52,Male,Manager,5,Pekerjaan,2-4 minggu,2,7.2,86,37,3,2,4,6,Tidur Lebih Baik,17,17,14,4,4,2,4,journaling,25,StudentCopingMechanisms
54,Male,Sales Representative,4,Keuangan,2-4 minggu,2,7.5,149,49,3,3,3,6,Tidur Lebih Baik,11,9,16,4,3,1,5,membaca,45,SleepHealthLifestyle
53,Female,Accountant,3,Pekerjaan,1-2 minggu,2,8.1,188,42,2,4,2,5,Tidur Lebih Baik,9,4,23,4,4,4,2,membaca,60,StudentCopingMechanisms
47,Male,Civil Servant,2,Sosial,1-2 minggu,5,7.0,194,55,2,3,1,4,Lebih Produktif,6,7,24,2,1,4,3,membaca,30,StudentStressFactors
20,Female,Student,3,Sosial,>1 bulan,5,6.0,85,39,3,3,4,6,Lebih Produktif,14,22,12,5,3,1,5,journaling,25,StudentStressFactors
21,Female,Student,5,Keuangan,2-4 minggu,4,5.2,135,32,2,4,4,7,Mengurangi Stres,8,0,22,3,1,1,3,journaling,25,StudentStressFactors
19,Female,Student,2,Keuangan,<1 minggu,4,7.2,142,45,3,2,1,3,Lebih Produktif,5,2,22,2,2,4,1,membaca,45,StudentCopingMechanisms
22,Female,Doctor,4,Keuangan,>1 bulan,1,6.6,151,57,2,3,4,6,Mengurangi Stres,13,13,15,4,4,2,3,journaling,45,StudentCopingMechanisms
23,Female,Student,5,Akademik,2-4 minggu,2,4.5,109,20,3,4,3,6,Mengurangi Stres,9,7,16,4,4,3,3,membaca,60,StudentCopingMechanisms
26,Female,Student,5,Akademik,1-2 minggu,2,5.1,84,20,1,4,3,7,Tidur Lebih Baik,7,8,17,4,5,3,5,membaca,45,StudentCopingMechanisms
23,Female,Freelancer,4,Pekerjaan,2-4 minggu,3,6.2,124,45,3,2,4,6,Mengurangi Stres,13,13,19,3,3,2,4,journaling,25,StudentCopingMechanisms
46,Male,Teacher,3,Keuangan,>1 bulan,2,6.3,176,63,4,1,2,5,Tidur Lebih Baik,8,8,18,4,3,3,2,olahraga,60,StudentStressFactors
17,Female,Student,3,Lainnya,<1 minggu,4,8.1,109,45,3,3,3,3,Menenangkan Pikiran,3,7,22,3,2,3,2,membaca,30,StudentCopingMechanisms
24,Male,Student,5,Akademik,1-2 minggu,5,7.0,180,27,1,2,4,5,Mengurangi Stres,11,4,28,1,1,3,1,journaling,20,StudentStressFactors
24,Female,Scientist,3,Pekerjaan,<1 minggu,4,7.7,198,61,3,3,2,4,Lebih Produktif,7,8,20,2,4,3,4,membaca,45,StudentCopingMechanisms
24,Male,Doctor,5,Keuangan,2-4 minggu,2,6.6,132,48,4,3,4,7,Tidur Lebih Baik,17,14,16,4,5,1,5,journaling,30,StudentStressFactors
27,Male,Lawyer,5,Lainnya,2-4 minggu,1,6.5,134,37,4,4,3,6,Tidur Lebih Baik,19,14,12,4,5,1,5,membaca,45,SleepHealthLifestyle
34,Female,Engineer,3,Lainnya,1-2 minggu,3,7.6,149,58,2,1,2,2,Meningkatkan Energi,10,5,18,4,2,3,2,journaling,20,SleepHealthLifestyle
52,Male,Software Engineer,5,Pekerjaan,1-2 minggu,5,7.0,131,29,3,4,3,7,Mengurangi Stres,16,13,12,4,4,2,5,membaca,60,StudentStressFactors
25,Male,Student,2,Akademik,<1 minggu,5,7.5,200,66,3,3,2,3,Menenangkan Pikiran,6,6,26,3,2,3,2,olahraga,45,SleepHealthLifestyle
28,Female,Engineer,3,Pekerjaan,2-4 minggu,2,6.7,161,57,3,3,2,3,Tidur Lebih Baik,8,6,20,4,2,3,3,membaca,30,SleepHealthLifestyle
37,Male,Scientist,3,Pekerjaan,>1 bulan,3,7.0,175,53,2,3,3,4,Meningkatkan Energi,8,8,20,4,2,3,2,membaca,45,StudentCopingMechanisms
25,Male,Student,5,Keuangan,2-4 minggu,3,5.8,180,48,3,2,3,6,Lebih Produktif,8,18,3,1,3,3,4,olahraga,60,StudentStressFactors
57,Male,Lawyer,4,Keuangan,2-4 minggu,3,6.9,156,52,4,3,4,7,Mengurangi Stres,15,13,18,5,5,2,5,journaling,20,StudentCopingMechanisms
39,Female,Sales Representative,4,Sosial,2-4 minggu,2,7.2,165,56,4,3,4,5,Tidur Lebih Baik,16,16,16,4,3,2,5,journaling,30,StudentStressFactors
45,Female,Lawyer,5,Lainnya,<1 minggu,1,6.6,124,21,3,4,4,7,Tidur Lebih Baik,14,16,11,4,4,1,5,journaling,20,StudentCopingMechanisms
45,Male,Teacher,2,Keuangan,1-2 minggu,4,7.0,200,58,3,1,1,3,Meningkatkan Energi,6,7,19,3,3,4,2,olahraga,45,StudentCopingMechanisms
34,Female,Student,3,Lainnya,>1 bulan,3,7.0,156,45,3,3,2,5,Menenangkan Pikiran,9,9,21,3,2,2,2,membaca,60,SleepHealthLifestyle
24,Female,Graphic Designer,3,Keuangan,1-2 minggu,2,7.3,160,36,2,4,1,5,Tidur Lebih Baik,9,10,22,4,3,2,2,membaca,60,StudentStressFactors
22,Female,Student,2,Lainnya,1-2 minggu,4,8.4,180,75,3,3,1,2,Meningkatkan Energi,4,1,23,1,1,5,2,membaca,30,StudentCopingMechanisms
24,Female,Student,1,Akademik,2-4 minggu,1,6.5,180,59,4,3,2,2,Mengurangi Stres,8,4,27,3,4,1,1,olahraga,20,StudentStressFactors
46,Male,Manager,5,Pekerjaan,1-2 minggu,1,6.3,144,45,3,3,4,7,Tidur Lebih Baik,17,13,15,5,5,2,5,journaling,25,StudentStressFactors
34,Male,Engineer,4,Lainnya,1-2 minggu,3,6.9,151,49,4,4,3,6,Meningkatkan Energi,11,11,17,5,4,3,3,membaca,45,StudentStressFactors
36,Male,Software Engineer,4,Pekerjaan,<1 minggu,2,6.1,165,53,3,3,4,6,Tidur Lebih Baik,9,14,23,5,4,3,3,journaling,25,StudentCopingMechanisms
26,Male,Student,5,Akademik,>1 bulan,2,7.0,156,45,2,3,4,7,Mengurangi Stres,6,10,16,3,4,3,5,journaling,45,StudentCopingMechanisms
21,Female,Student,5,Keuangan,1-2 minggu,1,5.9,112,38,1,4,4,6,Tidur Lebih Baik,4,15,30,5,1,2,3,membaca,60,StudentStressFactors
19,Male,Student,4,Lainnya,1-2 minggu,3,6.4,122,45,2,4,4,6,Meningkatkan Energi,7,6,23,3,3,3,2,membaca,45,StudentCopingMechanisms
36,Female,Engineer,4,Pekerjaan,1-2 minggu,3,7.2,173,41,4,4,3,7,Lebih Produktif,13,11,17,3,3,2,5,membaca,45,SleepHealthLifestyle
21,Male,Student,2,Akademik,<1 minggu,4,8.1,200,52,3,3,1,4,Meningkatkan Energi,3,3,22,2,2,3,3,olahraga,45,SleepHealthLifestyle
20,Male,Student,3,Sosial,2-4 minggu,3,6.2,157,53,2,4,4,6,Menenangkan Pikiran,18,10,6,3,1,2,5,journaling,25,StudentStressFactors
23,Female,Student,5,Keuangan,2-4 minggu,5,5.7,96,43,3,3,4,6,Lebih Produktif,4,10,0,5,2,2,3,journaling,20,StudentStressFactors
28,Male,Nurse,5,Keuangan,2-4 minggu,2,6.0,143,24,2,4,4,6,Tidur Lebih Baik,15,17,19,5,4,2,4,journaling,20,SleepHealthLifestyle
18,Male,Student,2,Akademik,<1 minggu,5,7.2,200,72,4,3,1,3,Meningkatkan Energi,9,7,22,1,2,3,3,olahraga,30,StudentStressFactors
35,Female,Freelancer,2,Keuangan,<1 minggu,5,7.2,200,67,4,4,1,3,Lebih Produktif,7,5,25,3,2,5,1,membaca,30,SleepHealthLifestyle
51,Male,Nurse,5,Lainnya,1-2 minggu,1,6.4,136,40,2,4,4,6,Mengurangi Stres,15,17,14,5,4,1,5,journaling,20,SleepHealthLifestyle
20,Male,Content Creator,3,Pekerjaan,2-4 minggu,3,7.8,182,42,4,4,1,4,Menenangkan Pikiran,9,8,26,2,3,4,3,olahraga,30,StudentCopingMechanisms
25,Male,Student,5,Akademik,2-4 minggu,2,5.0,71,20,1,3,4,6,Tidur Lebih Baik,10,12,15,4,5,3,5,membaca,30,StudentCopingMechanisms
37,Male,Entrepreneur,4,Sosial,>1 bulan,1,6.4,113,36,4,4,3,6,Mengurangi Stres,13,13,22,3,4,3,5,membaca,60,StudentStressFactors
56,Male,Teacher,2,Pekerjaan,>1 bulan,3,8.1,185,59,4,4,3,5,Menenangkan Pikiran,8,8,25,1,2,5,2,membaca,45,StudentStressFactors
27,Female,Teacher,3,Sosial,1-2 minggu,2,6.8,178,46,2,4,3,4,Tidur Lebih Baik,8,7,25,3,2,3,2,membaca,30,SleepHealthLifestyle
19,Female,Student,3,Lainnya,1-2 minggu,4,6.4,134,45,3,2,1,5,Lebih Produktif,4,7,23,2,2,3,3,olahraga,45,StudentCopingMechanisms
37,Female,Lawyer,4,Lainnya,2-4 minggu,3,7.1,127,40,3,3,4,7,Mengurangi Stres,14,11,14,3,4,3,5,journaling,25,StudentStressFactors
55,Male,Engineer,2,Sosial,1-2 minggu,5,7.3,200,47,4,3,1,3,Menenangkan Pikiran,6,3,24,2,1,4,3,membaca,45,SleepHealthLifestyle
34,Male,Software Engineer,5,Pekerjaan,1-2 minggu,2,6.1,122,36,4,3,4,7,Mengurangi Stres,15,18,14,5,5,1,5,journaling,30,StudentCopingMechanisms
52,Male,Manager,3,Akademik,<1 minggu,2,7.3,147,33,1,4,2,5,Tidur Lebih Baik,7,7,24,3,3,4,2,membaca,60,StudentStressFactors
53,Female,Scientist,3,Pekerjaan,>1 bulan,4,6.7,162,61,4,2,2,5,Meningkatkan Energi,9,9,17,2,4,2,4,olahraga,45,SleepHealthLifestyle
25,Female,Student,4,Akademik,<1 minggu,3,6.8,118,45,3,4,4,7,Mengurangi Stres,4,6,21,3,3,2,3,membaca,45,StudentCopingMechanisms
26,Female,Lawyer,4,Pekerjaan,1-2 minggu,1,7.7,150,23,2,2,3,5,Mengurangi Stres,13,14,18,3,3,2,4,journaling,20,SleepHealthLifestyle
38,Female,Engineer,3,Pekerjaan,1-2 minggu,2,7.4,156,33,2,1,1,2,Tidur Lebih Baik,8,7,18,3,3,2,2,olahraga,30,StudentStressFactors
18,Male,Student,3,Akademik,<1 minggu,2,6.9,182,59,3,4,2,5,Mengurangi Stres,8,5,20,3,2,3,3,membaca,45,StudentCopingMechanisms
41,Male,Nurse,4,Keuangan,>1 bulan,2,6.9,138,49,2,3,3,6,Tidur Lebih Baik,10,13,18,4,4,3,5,membaca,45,StudentCopingMechanisms
37,Female,Scientist,3,Lainnya,<1 minggu,2,6.8,171,35,3,4,2,5,Tidur Lebih Baik,8,6,21,2,3,2,4,membaca,45,StudentStressFactors
52,Female,Doctor,4,Pekerjaan,2-4 minggu,2,6.1,149,42,4,3,4,5,Tidur Lebih Baik,7,7,15,3,3,3,3,journaling,25,SleepHealthLifestyle
17,Female,Student,5,Akademik,2-4 minggu,2,5.0,126,20,2,3,3,7,Tidur Lebih Baik,5,8,14,3,4,3,3,membaca,60,StudentCopingMechanisms
21,Female,Student,4,Keuangan,1-2 minggu,1,7.2,124,48,2,4,4,5,Tidur Lebih Baik,15,12,19,5,4,1,5,membaca,45,StudentStressFactors
22,Male,Student,3,Akademik,1-2 minggu,4,7.8,145,37,4,2,1,4,Tidur Lebih Baik,9,5,16,2,2,4,2,olahraga,45,SleepHealthLifestyle
20,Female,Content Creator,4,Pekerjaan,2-4 minggu,3,6.6,173,53,3,3,4,6,Mengurangi Stres,14,13,16,4,3,2,4,journaling,20,SleepHealthLifestyle
20,Male,Student,1,Akademik,1-2 minggu,1,7.1,180,41,3,1,4,3,Mengurangi Stres,11,18,15,1,4,3,2,journaling,30,StudentStressFactors
40,Male,Engineer,4,Pekerjaan,1-2 minggu,1,6.2,175,25,2,3,2,6,Tidur Lebih Baik,8,10,18,3,5,1,4,membaca,60,SleepHealthLifestyle
18,Male,Student,4,Keuangan,>1 bulan,3,6.7,171,47,3,3,2,5,Mengurangi Stres,12,12,16,3,4,2,5,membaca,60,StudentStressFactors
25,Female,Scientist,4,Lainnya,1-2 minggu,1,7.4,144,30,3,2,2,4,Tidur Lebih Baik,12,12,17,3,4,3,5,olahraga,45,StudentStressFactors
23,Male,Student,4,Akademik,<1 minggu,3,6.4,114,20,1,4,3,6,Meningkatkan Energi,8,9,15,3,4,3,5,membaca,45,StudentCopingMechanisms
47,Male,Nurse,5,Pekerjaan,>1 bulan,2,7.1,142,21,2,3,4,6,Tidur Lebih Baik,17,18,17,5,4,2,5,journaling,30,SleepHealthLifestyle
23,Male,Student,4,Keuangan,1-2 minggu,2,7.0,168,55,2,3,4,5,Tidur Lebih Baik,14,14,15,3,3,3,3,journaling,25,StudentCopingMechanisms
37,Female,Software Engineer,5,Pekerjaan,>1 bulan,1,7.4,116,34,2,4,4,7,Tidur Lebih Baik,14,15,12,4,5,1,5,journaling,20,SleepHealthLifestyle
26,Female,Student,4,Lainnya,>1 bulan,3,5.3,141,20,1,4,3,5,Meningkatkan Energi,4,6,19,3,4,3,3,membaca,60,StudentCopingMechanisms
23,Female,Student,1,Akademik,2-4 minggu,1,6.1,180,53,4,2,3,2,Mengurangi Stres,1,23,25,1,2,3,4,journaling,30,StudentStressFactors
32,Female,Healthcare Worker,4,Pekerjaan,2-4 minggu,1,8.1,124,36,3,4,4,5,Tidur Lebih Baik,13,10,22,4,3,3,3,membaca,45,StudentCopingMechanisms
20,Female,Student,1,Sosial,<1 minggu,5,6.0,99,44,2,2,4,4,Lebih Produktif,20,22,2,4,4,3,4,journaling,25,StudentStressFactors
33,Male,Manager,4,Pekerjaan,<1 minggu,2,6.8,134,27,2,4,2,7,Tidur Lebih Baik,12,10,19,4,4,1,4,membaca,45,StudentStressFactors
25,Male,Student,2,Lainnya,<1 minggu,3,8.1,200,51,4,3,3,3,Lebih Produktif,5,5,22,3,2,3,2,membaca,30,SleepHealthLifestyle
54,Male,Accountant,3,Pekerjaan,1-2 minggu,3,7.3,194,60,4,3,2,6,Meningkatkan Energi,8,10,21,4,3,2,2,membaca,60,StudentStressFactors
17,Female,Student,2,Akademik,2-4 minggu,3,8.3,185,39,3,4,1,3,Menenangkan Pikiran,6,7,19,2,1,4,1,membaca,30,SleepHealthLifestyle
17,Female,Student,2,Akademik,2-4 minggu,5,7.0,200,60,3,4,3,4,Lebih Produktif,6,7,24,2,3,5,3,membaca,45,StudentCopingMechanisms
18,Male,Student,1,Lainnya,>1 bulan,5,8.4,180,75,4,2,2,4,Lebih Produktif,0,2,29,1,1,4,1,olahraga,45,StudentCopingMechanisms
25,Male,Student,3,Sosial,1-2 minggu,1,6.2,156,54,3,2,2,5,Mengurangi Stres,1,12,20,2,5,3,2,olahraga,45,StudentStressFactors
39,Female,Nurse,4,Pekerjaan,>1 bulan,2,6.8,130,54,2,3,4,5,Mengurangi Stres,5,9,16,1,4,3,4,membaca,60,SleepHealthLifestyle
18,Male,Student,2,Sosial,2-4 minggu,3,6.8,191,43,4,4,3,3,Meningkatkan Energi,6,5,22,3,1,3,3,membaca,45,SleepHealthLifestyle
44,Male,Scientist,3,Lainnya,2-4 minggu,2,7.5,148,40,2,4,3,4,Tidur Lebih Baik,9,12,22,3,2,2,4,membaca,30,StudentStressFactors
22,Female,Nurse,5,Pekerjaan,1-2 minggu,2,5.5,126,42,3,2,4,7,Tidur Lebih Baik,10,9,10,2,4,2,4,journaling,25,SleepHealthLifestyle
42,Male,Sales Representative,4,Keuangan,1-2 minggu,2,6.2,104,41,4,3,3,7,Tidur Lebih Baik,8,8,17,2,4,3,4,olahraga,45,SleepHealthLifestyle
19,Female,Student,3,Keuangan,<1 minggu,3,7.5,174,39,4,3,1,6,Lebih Produktif,11,9,20,2,4,3,3,olahraga,60,SleepHealthLifestyle
18,Male,Student,2,Lainnya,<1 minggu,4,8.3,169,75,4,2,2,5,Menenangkan Pikiran,4,1,22,2,1,3,1,olahraga,60,StudentCopingMechanisms
21,Male,Student,1,Lainnya,<1 minggu,5,8.7,180,75,4,2,1,2,Lebih Produktif,2,2,25,1,1,3,1,olahraga,20,StudentCopingMechanisms
43,Male,Doctor,4,Sosial,<1 minggu,3,6.6,145,34,3,3,3,6,Meningkatkan Energi,12,11,19,5,3,1,4,membaca,45,StudentStressFactors
29,Female,Software Engineer,5,Sosial,1-2 minggu,1,6.6,106,41,3,2,4,7,Mengurangi Stres,14,17,15,5,5,1,5,journaling,25,SleepHealthLifestyle
39,Male,Manager,3,Pekerjaan,1-2 minggu,2,7.7,164,34,2,3,3,4,Mengurangi Stres,6,7,18,4,3,4,4,membaca,45,SleepHealthLifestyle
19,Male,Student,1,Lainnya,<1 minggu,5,7.9,180,75,3,2,2,2,Menenangkan Pikiran,0,1,25,1,1,3,1,olahraga,30,StudentCopingMechanisms
25,Male,Student,4,Akademik,1-2 minggu,3,6.8,149,20,2,4,4,7,Mengurangi Stres,4,10,19,2,4,3,3,journaling,25,StudentCopingMechanisms
27,Female,Student,2,Lainnya,<1 minggu,5,8.1,180,75,4,3,1,5,Meningkatkan Energi,0,1,26,1,1,3,1,olahraga,60,StudentCopingMechanisms
23,Male,Student,2,Keuangan,2-4 minggu,5,7.0,180,45,2,2,2,3,Lebih Produktif,2,6,23,2,2,3,3,membaca,45,StudentCopingMechanisms
22,Female,Student,1,Akademik,<1 minggu,5,6.5,168,62,4,4,4,2,Mengurangi Stres,20,0,25,3,1,2,1,journaling,25,StudentStressFactors
24,Male,Student,4,Lainnya,>1 bulan,3,6.9,147,45,3,4,4,5,Mengurangi Stres,6,4,21,3,3,3,2,membaca,60,StudentCopingMechanisms
